Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Price,Cluster
1515.708,2,6,3,2,2,68000,2
747.18,9,12,2,2,1,60000,1
754.296,5,14,2,2,1,32000,1
2134.8,11,12,2,2,2,58000,2
1490.802,3,12,2,1,2,59888,1
1231.068,2,7,3,2,2,38888,2
370.032,4,7,1,1,1,24888,1
772.086,6,7,2,2,1,39000,1
1622.448,1,6,3,2,2,130000,2
925.08,2,4,2,1,1,31999,1
818.34,5,9,1,2,1,42000,1
1384.062,6,13,3,2,2,49800,2
540.816,5,11,1,1,1,29500,1
2561.76,10,17,4,2,3,100000,0
1992.48,5,7,4,2,3,55000,2
1031.82,11,14,3,2,2,61000,2
2063.64,2,17,3,2,3,85000,0
2312.7,7,16,5,2,3,55000,0
2383.86,2,7,3,2,2,70000,2
2134.8,5,7,4,2,2,78000,2
2134.8,3,6,4,2,3,98000,2
1423.2,3,12,3,2,2,50000,2
1739.862,1,25,3,1,1,65000,1
1191.93,3,7,3,2,2,55000,2
711.6,6,14,1,1,1,39000,1
658.23,4,4,1,1,1,22000,1
537.258,22,26,1,0,1,19000,1
1515.708,4,7,2,2,2,88000,2
1732.746,8,12,4,2,2,65000,2
640.44,8,9,1,2,1,45000,1
925.08,2,4,2,1,1,31800,1
718.716,5,12,2,2,1,34800,1
426.96,9,12,1,0,1,13000,1
658.23,9,12,2,2,1,46000,1
1501.476,4,4,4,2,2,52000,2
1771.884,4,7,4,2,2,57000,2
1167.024,2,12,3,2,2,38000,2
1252.416,8,12,3,2,2,40000,2
1697.166,3,12,4,2,2,75000,2
1167.024,2,12,3,2,2,43000,2
2184.612,4,14,3,2,2,63000,2
2170.38,9,15,4,2,2,110000,0
1857.276,2,7,4,2,2,65000,2
1996.038,5,12,3,2,2,70000,2
1359.156,7,16,3,2,2,45000,2
1586.868,3,7,3,2,2,44000,2
2312.7,7,15,4,2,2,70000,0
2227.308,2,5,5,2,2,100000,2
893.058,8,14,2,2,1,38000,1
1440.99,6,7,2,2,1,55000,1
1263.09,5,7,2,2,2,37000,2
1099.422,2,7,4,2,2,58500,2
3255.57,4,7,4,2,5,120000,0
1540.614,6,14,4,2,2,69000,2
1366.272,10,12,3,2,2,41000,2
1152.792,10,12,2,2,2,45000,2
1544.172,10,12,4,2,2,98000,0
1910.646,6,7,4,2,2,75000,2
718.716,5,12,2,2,1,35000,1
1487.244,6,7,3,2,2,33700,2
1312.902,4,13,3,2,2,41000,2
1255.974,4,16,3,2,2,40000,2
2255.772,2,25,3,2,2,80000,0
2052.966,5,7,4,2,2,78000,2
1188.372,2,14,3,2,2,36000,2
604.86,5,5,2,0,1,11900,1
889.5,3,4,2,2,1,29800,1
1067.4,1,6,3,2,2,35000,2
1138.56,6,10,2,1,2,33000,1
925.08,4,13,2,2,1,32000,1
711.6,6,9,2,2,1,42000,1
925.08,2,4,3,1,1,34500,1
925.08,4,13,2,2,1,32000,1
523.026,2,12,1,1,1,29000,1
1529.94,2,12,2,2,1,58000,2
836.13,8,12,2,1,1,35000,1
789.876,7,9,1,1,1,42000,1
1885.74,6,7,3,2,2,54999,2
2782.356,12,13,3,2,3,123456,0
711.6,5,7,3,2,2,28000,2
469.656,7,7,1,1,1,34000,1
793.434,11,14,2,1,1,40000,1
1565.52,2,6,3,2,1,45000,2
1366.272,4,11,4,2,2,50000,2
1914.204,17,21,3,2,2,88000,0
1889.298,2,14,4,2,2,100000,2
1956.9,6,7,4,2,3,85000,2
1992.48,4,15,3,2,2,99888,0
3187.968,6,7,3,2,2,168000,0
925.08,2,18,1,2,1,51000,1
1067.4,4,7,3,2,2,31000,2
1352.04,17,24,3,2,2,85000,0
2063.64,15,15,3,2,2,110000,0
796.992,3,12,2,2,2,45000,2
949.986,5,12,2,1,1,43000,1
2910.444,4,7,3,2,3,90000,2
3010.068,4,11,3,2,2,185000,0
768.528,6,7,1,1,1,45000,1
772.086,3,7,2,2,1,28000,1
1423.2,3,7,3,2,2,68000,2
1380.504,2,12,3,2,2,42000,2
448.308,2,12,1,1,1,17000,1
1971.132,2,6,4,2,2,53000,2
2052.966,5,7,4,2,2,78000,2
1127.886,11,12,3,2,2,150000,0
3241.338,7,7,2,2,3,99999,0
1892.856,9,12,3,2,2,119999,0
2138.358,4,7,4,2,3,100000,2
1423.2,2,7,4,1,2,45000,2
1754.094,3,7,4,2,2,48000,2
925.08,2,4,2,2,1,36000,1
1352.04,4,11,4,2,2,50000,2
889.5,5,5,2,1,1,24000,1
640.44,2,5,1,1,1,28000,1
1423.2,3,4,4,2,2,39000,2
651.114,8,11,3,2,2,36000,2
1391.178,1,7,1,3,3,50000,2
1487.244,6,7,3,2,2,36000,2
1700.724,13,21,2,2,2,55000,0
1515.708,6,7,4,2,2,50000,2
1206.162,7,7,2,2,1,57000,1
2052.966,5,7,4,2,2,78000,2
1298.67,7,7,2,2,1,59500,1
1444.548,2,5,4,2,2,45000,2
2067.198,4,14,4,2,2,100000,0
1227.51,2,7,3,2,2,39000,2
1494.36,4,4,3,2,2,36000,2
1366.272,4,11,4,2,2,50000,2
2298.468,14,18,4,2,2,135000,0
925.08,7,10,1,2,1,28000,1
3842.64,15,16,3,1,2,200000,0
1889.298,2,14,4,2,2,105000,2
2063.64,3,6,4,2,2,98000,2
1544.172,10,12,4,2,2,98000,0
1273.764,5,13,3,2,2,57000,2
1579.752,4,15,3,2,2,100000,2
1672.26,10,12,2,1,2,45000,1
1227.51,5,12,2,2,2,45000,2
1401.852,2,6,3,2,3,60000,2
569.28,9,9,2,2,1,32000,1
2173.938,5,7,4,2,2,60000,2
2213.076,2,14,4,2,2,108000,0
2063.64,4,14,4,2,2,100000,0
1707.84,9,15,3,2,2,80000,0
900.174,4,7,2,2,2,88000,2
1465.896,6,7,2,2,2,80000,2
1316.46,4,13,3,2,2,45000,2
740.064,6,14,1,1,1,38800,1
754.296,2,9,1,1,1,35000,1
1647.354,10,14,2,2,2,55000,2
811.224,5,12,2,1,1,43500,1
1487.244,8,12,4,2,2,38000,2
1494.36,1,4,4,2,3,150000,2
2914.002,5,15,3,2,2,110000,0
1665.144,7,12,4,2,2,48000,2
1732.746,8,12,4,2,2,72000,2
853.92,8,14,2,1,1,42000,1
1885.74,6,7,4,2,2,75000,2
889.5,11,13,2,2,2,49998,2
2455.02,12,25,4,2,2,110000,0
1067.4,6,9,4,2,2,50000,2
1102.98,2,9,3,2,2,50000,2
3024.3,9,13,3,2,2,158000,0
1102.98,2,4,3,1,2,26000,1
1725.63,4,12,3,2,2,45000,2
985.566,8,14,2,2,1,28000,1
1102.98,3,7,3,2,2,35000,2
1885.74,7,12,3,1,2,77000,2
2028.06,12,12,5,1,1,89000,0
540.816,5,11,2,1,1,28500,1
590.628,8,9,2,1,1,45000,1
2170.38,9,15,4,2,2,110000,0
1992.48,5,12,3,2,2,70000,2
960.66,4,5,3,2,2,33000,2
843.246,2,18,1,1,1,51500,1
1889.298,18,21,3,2,2,69500,0
1487.244,6,7,3,1,2,36000,1
587.07,5,7,1,1,1,36000,1
1384.062,6,13,3,2,2,50000,2
818.34,4,5,3,2,1,21000,2
711.6,1,4,2,2,3,42000,2
1074.516,7,10,3,1,2,35000,1
